FSMtype	States	Inputs	Outputs	Sequences	Symbols	Seconds	Algorithm	AlgId	fileName
1	600	5	5	2200	4428	0.046979	ShortestSeparatingSequences	0	DFSM_R600_5_ytitB.fsm
1	600	5	5	2171	4372	0.044469	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_ytitB.fsm
1	600	5	5	608	4144	0.177923	SplittingTreeBased	2	DFSM_R600_5_ytitB.fsm
1	600	5	5	2197	4416	0.046542	ShortestSeparatingSequences	0	DFSM_R600_5_wjL2B.fsm
1	600	5	5	2216	4452	0.042558	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_wjL2B.fsm
1	600	5	5	610	4130	0.170848	SplittingTreeBased	2	DFSM_R600_5_wjL2B.fsm
1	600	5	5	2177	4366	0.046035	ShortestSeparatingSequences	0	DFSM_R600_5_UMO78.fsm
1	600	5	5	2186	4384	0.045465	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_UMO78.fsm
1	600	5	5	610	4139	0.170993	SplittingTreeBased	2	DFSM_R600_5_UMO78.fsm
1	600	5	5	2186	4406	0.047936	ShortestSeparatingSequences	0	DFSM_R600_5_jfMdG.fsm
1	600	5	5	2177	4388	0.045508	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_jfMdG.fsm
1	600	5	5	606	4113	0.171189	SplittingTreeBased	2	DFSM_R600_5_jfMdG.fsm
1	600	5	5	2238	4494	0.046825	ShortestSeparatingSequences	0	DFSM_R600_5_GiJL0.fsm
1	600	5	5	2194	4406	0.049366	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_GiJL0.fsm
1	600	5	5	612	4150	0.178997	SplittingTreeBased	2	DFSM_R600_5_GiJL0.fsm
1	600	5	5	2189	4415	0.047079	ShortestSeparatingSequences	0	DFSM_R600_5_5bqpq.fsm
1	600	5	5	2164	4361	0.047580	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_5bqpq.fsm
1	600	5	5	608	4152	0.172532	SplittingTreeBased	2	DFSM_R600_5_5bqpq.fsm
1	600	5	5	2210	4428	0.047011	ShortestSeparatingSequences	0	DFSM_R600_5_VByB2.fsm
1	600	5	5	2200	4410	0.044249	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_VByB2.fsm
1	600	5	5	610	4098	0.170884	SplittingTreeBased	2	DFSM_R600_5_VByB2.fsm
1	600	5	5	2179	4380	0.046637	ShortestSeparatingSequences	0	DFSM_R600_5_OqZsK.fsm
1	600	5	5	2175	4368	0.044748	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_OqZsK.fsm
1	600	5	5	608	4093	0.171284	SplittingTreeBased	2	DFSM_R600_5_OqZsK.fsm
1	600	5	5	2198	4430	0.044642	ShortestSeparatingSequences	0	DFSM_R600_5_4f9gX.fsm
1	600	5	5	2191	4413	0.044433	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_4f9gX.fsm
1	600	5	5	608	4117	0.179452	SplittingTreeBased	2	DFSM_R600_5_4f9gX.fsm
1	600	5	5	2204	4434	0.047577	ShortestSeparatingSequences	0	DFSM_R600_5_OMQMi.fsm
1	600	5	5	2194	4406	0.047078	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_OMQMi.fsm
1	600	5	5	606	4098	0.171712	SplittingTreeBased	2	DFSM_R600_5_OMQMi.fsm
1	600	5	5	2188	4410	0.046978	ShortestSeparatingSequences	0	DFSM_R600_5_VfQHt.fsm
1	600	5	5	2186	4404	0.050336	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_VfQHt.fsm
1	600	5	5	610	4151	0.174396	SplittingTreeBased	2	DFSM_R600_5_VfQHt.fsm
1	600	5	5	2180	4389	0.048320	ShortestSeparatingSequences	0	DFSM_R600_5_3OmkI.fsm
1	600	5	5	2188	4403	0.047308	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_3OmkI.fsm
1	600	5	5	606	4188	0.182793	SplittingTreeBased	2	DFSM_R600_5_3OmkI.fsm
1	600	5	5	2180	4390	0.048760	ShortestSeparatingSequences	0	DFSM_R600_5_TlKxG.fsm
1	600	5	5	2178	4381	0.051802	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_TlKxG.fsm
1	600	5	5	610	4127	0.173702	SplittingTreeBased	2	DFSM_R600_5_TlKxG.fsm
1	600	5	5	2201	4422	0.047959	ShortestSeparatingSequences	0	DFSM_R600_5_rJh83.fsm
1	600	5	5	2210	4440	0.048927	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_rJh83.fsm
1	600	5	5	614	4162	0.174217	SplittingTreeBased	2	DFSM_R600_5_rJh83.fsm
1	600	5	5	2233	4492	0.045820	ShortestSeparatingSequences	0	DFSM_R600_5_y86Nw.fsm
1	600	5	5	2206	4438	0.043788	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_y86Nw.fsm
1	600	5	5	608	4145	0.173842	SplittingTreeBased	2	DFSM_R600_5_y86Nw.fsm
1	600	5	5	2193	4412	0.046683	ShortestSeparatingSequences	0	DFSM_R600_5_FOACZ.fsm
1	600	5	5	2195	4416	0.046641	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_FOACZ.fsm
1	600	5	5	608	4181	0.182488	SplittingTreeBased	2	DFSM_R600_5_FOACZ.fsm
1	600	5	5	2195	4416	0.048714	ShortestSeparatingSequences	0	DFSM_R600_5_x4azh.fsm
1	600	5	5	2183	4390	0.049759	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_x4azh.fsm
1	600	5	5	608	4150	0.174582	SplittingTreeBased	2	DFSM_R600_5_x4azh.fsm
1	600	5	5	2192	4400	0.047443	ShortestSeparatingSequences	0	DFSM_R600_5_6JU6Z.fsm
1	600	5	5	2177	4372	0.047505	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_6JU6Z.fsm
1	600	5	5	612	4143	0.173895	SplittingTreeBased	2	DFSM_R600_5_6JU6Z.fsm
1	600	5	5	2216	4463	0.047203	ShortestSeparatingSequences	0	DFSM_R600_5_IQjIR.fsm
1	600	5	5	2207	4443	0.047287	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_IQjIR.fsm
1	600	5	5	608	4142	0.175550	SplittingTreeBased	2	DFSM_R600_5_IQjIR.fsm
1	600	5	5	2209	4448	0.055255	ShortestSeparatingSequences	0	DFSM_R600_5_0pxRO.fsm
1	600	5	5	2204	4438	0.044704	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_0pxRO.fsm
1	600	5	5	612	4095	0.173012	SplittingTreeBased	2	DFSM_R600_5_0pxRO.fsm
1	600	5	5	2193	4408	0.047798	ShortestSeparatingSequences	0	DFSM_R600_5_UDwyV.fsm
1	600	5	5	2191	4406	0.046818	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_UDwyV.fsm
1	600	5	5	608	4162	0.174396	SplittingTreeBased	2	DFSM_R600_5_UDwyV.fsm
1	600	5	5	2206	4436	0.049432	ShortestSeparatingSequences	0	DFSM_R600_5_EPgRt.fsm
1	600	5	5	2200	4422	0.049625	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_EPgRt.fsm
1	600	5	5	604	4171	0.175389	SplittingTreeBased	2	DFSM_R600_5_EPgRt.fsm
1	600	5	5	2191	4412	0.048648	ShortestSeparatingSequences	0	DFSM_R600_5_Pb759.fsm
1	600	5	5	2191	4412	0.049374	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_Pb759.fsm
1	600	5	5	608	4120	0.182655	SplittingTreeBased	2	DFSM_R600_5_Pb759.fsm
1	600	5	5	2187	4392	0.048725	ShortestSeparatingSequences	0	DFSM_R600_5_4Ygco.fsm
1	600	5	5	2193	4404	0.050573	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_4Ygco.fsm
