"Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName"
"0	2	80	5	5	2	26608	189226	37012	0.195597	0.030779	TS	HSI-method	5	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	2	8926	82150	37740	0.459404	0.017014	TS	HSI-methodST	6	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	2	10808	93830	36730	0.391453	0.046847	TS	H-method	7	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	2	11665	107982	46153	0.427414	0.106976	TS	SPY-method	8	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	2	8926	82150	37740	0.459404	0.018828	TS	SPY-methodST	9	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	2	9682	89026	37550	0.421787	1.029994	TS	SPYH-method	10	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	2	4083	76715	58209	0.758769	8.712256	TS	S-method	11	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	0	1704	9575	2701	0.282089	0.009969	TS	SVS-method	0	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	0	1605	8265	2005	0.242589	0.004148	TS	W-method	1	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	0	1605	8265	2005	0.242589	0.003756	TS	W-methodST	2	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	0	997	5134	1397	0.272108	0.004124	TS	Wp-method	3	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	0	954	4911	1354	0.275708	0.004255	TS	Wp-methodST	4	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	0	1098	5660	1498	0.264664	0.001691	TS	HSI-method	5	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	0	360	2609	1509	0.578383	0.002882	TS	HSI-methodST	6	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	0	613	3745	1510	0.403204	0.002687	TS	H-method	7	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	0	615	3764	1666	0.442614	0.002022	TS	SPY-method	8	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	0	360	2609	1509	0.578383	0.002903	TS	SPY-methodST	9	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	0	482	3180	1566	0.492453	0.004662	TS	SPYH-method	10	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	0	172	2334	1882	0.806341	0.068635	TS	S-method	11	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	1	8513	56397	13532	0.239942	0.023457	TS	SVS-method	0	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	1	8025	49350	10030	0.203242	0.010260	TS	W-method	1	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	1	8025	49350	10030	0.203242	0.009970	TS	W-methodST	2	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	1	4908	30176	6913	0.229089	0.008273	TS	Wp-method	3	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	1	4760	29266	6765	0.231156	0.008245	TS	Wp-methodST	4	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	1	5489	33760	7494	0.221979	0.006105	TS	HSI-method	5	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	1	1807	14925	7574	0.507471	0.005035	TS	HSI-methodST	6	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	1	2697	19779	7263	0.367208	0.009970	TS	H-method	7	Mealy_R80_5_3aOdP.fsm"
"0	2	80	5	5	1	2622	20401	9012	0.441743	0.010930	TS	SPY-method	8	Mealy_R80_5_3aOdP.fsm"
